PV Cell Characteristics


Date and Time: 2019-11-18 19:33:50


Model:            g191113-4-1
Serial Number:    6
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.520000
Isc(A):           0.003352
Vm(V):            0.394000
Im(A):            0.002900
Pmax(W):          0.001142
Efficiency(%):    9.520810
Fill Factor(%):   65.549172
Jsc(A/m2):        279.320833
Rs(ohm):          25.335190
Rsh(ohm):         2466.598150
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)
-8.859213E-003	6.940000E-001	-6.148294E-003
-9.196866E-003	7.000000E-001	-6.437806E-003
-9.534720E-003	7.060000E-001	-6.731512E-003
-9.872363E-003	7.120000E-001	-7.029122E-003
-1.021011E-002	7.180000E-001	-7.330859E-003
-1.056091E-002	7.240000E-001	-7.646099E-003
-1.089979E-002	7.300000E-001	-7.956847E-003
-1.123851E-002	7.360000E-001	-8.271543E-003
-1.157738E-002	7.420000E-001	-8.590416E-003
-1.191777E-002	7.480000E-001	-8.914492E-003
-1.225695E-002	7.540000E-001	-9.241740E-003
-1.259611E-002	7.600000E-001	-9.573044E-003
-1.293557E-002	7.660000E-001	-9.908647E-003
-1.327550E-002	7.720000E-001	-1.024869E-002
-1.361581E-002	7.780000E-001	-1.059310E-002
-1.395673E-002	7.840000E-001	-1.094208E-002
-1.429887E-002	7.900000E-001	-1.129611E-002
-1.464194E-002	7.960000E-001	-1.165498E-002
-1.498544E-002	8.020000E-001	-1.201832E-002
-1.533026E-002	8.080000E-001	-1.238685E-002
-1.567660E-002	8.140000E-001	-1.276075E-002
-1.602553E-002	8.200000E-001	-1.314093E-002
-1.637395E-002	8.260000E-001	-1.352488E-002
-1.672455E-002	8.320000E-001	-1.391483E-002
-1.707765E-002	8.380000E-001	-1.431107E-002
-1.743015E-002	8.440000E-001	-1.471105E-002
-1.778584E-002	8.500000E-001	-1.511796E-002
-1.814336E-002	8.560000E-001	-1.553072E-002
-1.850406E-002	8.620000E-001	-1.595050E-002
-1.886585E-002	8.680000E-001	-1.637556E-002
-1.923143E-002	8.740000E-001	-1.680827E-002
-1.959924E-002	8.800000E-001	-1.724733E-002
-1.997190E-002	8.860000E-001	-1.769510E-002
-2.034796E-002	8.920000E-001	-1.815038E-002
-2.072583E-002	8.980000E-001	-1.861180E-002
-2.110679E-002	9.040000E-001	-1.908054E-002
-2.149130E-002	9.100000E-001	-1.955708E-002
-2.188022E-002	9.160000E-001	-2.004228E-002
-2.227123E-002	9.220000E-001	-2.053407E-002
-2.266734E-002	9.280000E-001	-2.103529E-002
-2.306732E-002	9.340000E-001	-2.154488E-002
-2.347250E-002	9.400000E-001	-2.206415E-002
-2.388098E-002	9.460000E-001	-2.259141E-002
-2.429621E-002	9.520000E-001	-2.312999E-002
-2.471521E-002	9.580000E-001	-2.367717E-002
-2.514254E-002	9.640000E-001	-2.423741E-002
-2.557037E-002	9.700000E-001	-2.480326E-002
-2.600436E-002	9.760000E-001	-2.538026E-002
-2.644399E-002	9.820000E-001	-2.596800E-002
-2.688922E-002	9.880000E-001	-2.656655E-002
-2.733973E-002	9.940000E-001	-2.717569E-002
