PV Cell Characteristics


Date and Time: 2019-11-18 22:14:07


Model:            g191109-2
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.436000
Isc(A):           0.000183
Vm(V):            0.214000
Im(A):            0.000090
Pmax(W):          0.000019
Efficiency(%):    0.160301
Fill Factor(%):   24.156519
Jsc(A/m2):        15.220000
Rs(ohm):          3011.769241
Rsh(ohm):         2255.257569
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)
-6.878779E-005	7.420000E-001	-5.104054E-005
-7.021952E-005	7.480000E-001	-5.252420E-005
-7.174515E-005	7.540000E-001	-5.409584E-005
-7.317637E-005	7.600000E-001	-5.561404E-005
-7.474222E-005	7.660000E-001	-5.725254E-005
-7.620867E-005	7.720000E-001	-5.883309E-005
-7.780444E-005	7.780000E-001	-6.053185E-005
-7.936859E-005	7.840000E-001	-6.222497E-005
-8.096195E-005	7.900000E-001	-6.395994E-005
-8.257216E-005	7.960000E-001	-6.572744E-005
-8.416780E-005	8.020000E-001	-6.750258E-005
-8.586977E-005	8.080000E-001	-6.938277E-005
-8.747620E-005	8.140000E-001	-7.120563E-005
-8.923370E-005	8.200000E-001	-7.317163E-005
-9.088861E-005	8.260000E-001	-7.507399E-005
-9.267654E-005	8.320000E-001	-7.710688E-005
-9.443695E-005	8.380000E-001	-7.913816E-005
-9.623245E-005	8.440000E-001	-8.122019E-005
-9.802944E-005	8.500000E-001	-8.332502E-005
-9.981509E-005	8.560000E-001	-8.544172E-005
-1.016843E-004	8.620000E-001	-8.765187E-005
-1.034829E-004	8.680000E-001	-8.982316E-005
-1.063460E-004	8.740000E-001	-9.294640E-005
-1.084124E-004	8.800000E-001	-9.540291E-005
-1.102026E-004	8.860000E-001	-9.763950E-005
-1.121682E-004	8.920000E-001	-1.000540E-004
-1.140729E-004	8.980000E-001	-1.024375E-004
-1.160595E-004	9.040000E-001	-1.049178E-004
-1.180278E-004	9.100000E-001	-1.074053E-004
-1.199986E-004	9.160000E-001	-1.099187E-004
-1.220570E-004	9.220000E-001	-1.125366E-004
-1.240532E-004	9.280000E-001	-1.151214E-004
-1.261789E-004	9.340000E-001	-1.178511E-004
-1.282187E-004	9.400000E-001	-1.205256E-004
-1.303640E-004	9.460000E-001	-1.233243E-004
-1.324598E-004	9.520000E-001	-1.261017E-004
-1.346567E-004	9.580000E-001	-1.290011E-004
-1.368500E-004	9.640000E-001	-1.319234E-004
-1.390149E-004	9.700000E-001	-1.348445E-004
-1.412293E-004	9.760000E-001	-1.378398E-004
-1.434197E-004	9.820000E-001	-1.408381E-004
-1.457059E-004	9.880000E-001	-1.439574E-004
-1.478876E-004	9.940000E-001	-1.470003E-004
